area,latitude,longitude,node_id,node_type,index_right,us_state
BHBA,44.061158,-103.231542,CLVLNDST_LNODE691247,LOAD,41.0,South Dakota
TPWR,47.156510435919046,-122.51519700550412,CLVR PK_FDR1LNODE,LOAD,47.0,Washington
TPWR,47.1563295639271,-122.51519700595682,CLVR PK_FDR2LNODE,LOAD,47.0,Washington
TPWR,47.1563295639271,-122.51546299404318,CLVR PK_FDR3LNODE,LOAD,47.0,Washington
TPWR,47.156510435919046,-122.51546299449586,CLVR PK_FDR4LNODE,LOAD,47.0,Washington
BHBA,44.3653619999826,-105.39986883684188,CLVS_PNT_LNODECLOVIS,LOAD,50.0,Wyoming
BHBA,44.3653619999826,-105.39999516315812,CLVS_PNT_LNODESPRINGEN69,LOAD,50.0,Wyoming
PSE,48.326111,-122.668611,CLV_LNODEXF1,LOAD,47.0,Washington
APS,33.740766,-112.306425,CLW_LNODE10A,LOAD,2.0,Arizona
APS,33.74076599995289,-112.30631682385906,CLW_LNODE13A,LOAD,2.0,Arizona
APS,33.74067604514137,-112.306425,CLW_LNODER1A,LOAD,2.0,Arizona
APS,33.74076599995289,-112.30653317614092,CLW_LNODER5A,LOAD,2.0,Arizona
APS,33.74085595485872,-112.306425,CLW_LNODER9A,LOAD,2.0,Arizona
PGE,44.98416,-123.000259,CLXT_LNODEBR1,LOAD,37.0,Oregon
NWMT,45.90771999998193,-110.61857458678809,CLYDE_PK_LNODEILS,LOAD,26.0,Montana
NWMT,45.90771999998193,-110.61870341321192,CLYDE_PK_LNODELYD,LOAD,26.0,Montana
PSE,47.632222,-122.201944,CLYPSE_LNODEXF2,LOAD,47.0,Washington
SRP,42.841518,-114.903599,CL_2_SES_BATTERYGNODE,GEN,12.0,Idaho
APS,33.00848371845736,-111.525738,CL_LNODER1A,LOAD,2.0,Arizona
APS,33.00840314075906,-111.52568252412864,CL_LNODER2A,LOAD,2.0,Arizona
APS,33.00840314075906,-111.52579347587135,CL_LNODER3A,LOAD,2.0,Arizona
LADWP,35.871943999987344,-114.92827772086322,CM3_PP_GNODEF1_5,GEN,28.0,Nevada
LADWP,35.871943999987344,-114.92838827913675,CM3_PP_GNODEF6_10,GEN,28.0,Nevada
APS,33.66,-112.109,CMC_GNODE1,GEN,2.0,Arizona
APS,33.659999999953044,-112.10889201246438,CMC_GNODE2,GEN,2.0,Arizona
APS,33.65991011747006,-112.1088920125772,CMC_LNODE17A,LOAD,2.0,Arizona
APS,33.65984656099974,-112.1089683712395,CMC_LNODE1A,LOAD,2.0,Arizona
APS,33.659831361675565,-112.10907480339606,CMC_LNODE21A,LOAD,2.0,Arizona
APS,33.65986249261125,-112.10917610684136,CMC_LNODE9A,LOAD,2.0,Arizona
APS,33.659928045601994,-112.10924998900974,CMC_LNODEFDR23,LOAD,2.0,Arizona
APS,33.66001299233805,-112.10928528146492,CMC_LNODEFDR27,LOAD,2.0,Arizona
PNM,36.468438,-104.635097,CMFS_1_SOLA_CIMGNODE,GEN,31.0,New Mexico
BHBA,44.089444,-103.270269,CMNTPLNT_LNODEBH,LOAD,41.0,South Dakota
APS,34.77845799998761,-112.08374997361902,CMX_LNODEMR1,LOAD,2.0,Arizona
APS,34.77845799998761,-112.08386002638098,CMX_LNODEMR2,LOAD,2.0,Arizona
PGE,45.267414,-122.721695,CNBY_LNODEBR1,LOAD,37.0,Oregon
PGE,45.2674139999292,-122.7215676877346,CNBY_LNODEBR2,LOAD,37.0,Oregon
PGE,45.2673243977747,-122.721695,CNBY_LNODEBR3,LOAD,37.0,Oregon
PGE,45.2674139999292,-122.7218223122654,CNBY_LNODEBR4,LOAD,37.0,Oregon
NV,36.082880719324464,-115.119336,CNCOURS_LNODE-1,LOAD,28.0,Nevada
NV,36.082800140324,-115.11927843477434,CNCOURS_LNODE-2,LOAD,28.0,Nevada
NV,36.082800140324,-115.11939356522566,CNCOURS_LNODE-3,LOAD,28.0,Nevada
NV,38.283425,-118.019694,CNDLARIA_LNODE31,LOAD,28.0,Nevada
PGE,45.5194,-122.8063,CNLS_LNODEBR1,LOAD,37.0,Oregon
BHBA,44.09638899998275,-103.18882604473364,CNTRY_RD_LNODE691247N,LOAD,41.0,South Dakota
BHBA,44.09638899998275,-103.18895195526636,CNTRY_RD_LNODE691247S,LOAD,41.0,South Dakota
APS,34.71737099998766,-111.90460700176752,CN_LNODER2A,LOAD,2.0,Arizona
APS,34.71737099998766,-111.90471699823246,CN_LNODER4A,LOAD,2.0,Arizona
PNM,35.0782,-106.63,COAL_LNODECOAL,LOAD,31.0,New Mexico
NWMT,47.553538999980574,-111.14895411653956,COCHRANE_1_CCH1GNODE,GEN,26.0,Montana
NWMT,47.553538999980574,-111.14908788346044,COCHRANE_1_CCH2GNODE,GEN,26.0,Montana
SRP,33.41244277593592,-112.31428221497193,CODEVALY_LNODE69LD2,LOAD,2.0,Arizona
SRP,33.41244277593592,-112.31438965681208,CODEVALY_LNODE69LD3,LOAD,2.0,Arizona
BPAT,46.13993,-122.9937,COFFI_BP_G04GNODE,GEN,47.0,Washington
NV,36.07191699994903,-114.9943527702399,COH_LNODE-1,LOAD,28.0,Nevada
NV,36.07200653321178,-114.994242,COH_LNODE-2,LOAD,28.0,Nevada
AVA,47.8376,-117.3526,COLBERT_1_BPAT_COLBERTLNODE,LOAD,47.0,Washington
BPAT,46.563037,-119.813236,COLDC_BP_LNODE115,LOAD,47.0,Washington
PNM,35.508921,-105.921735,COLINAS_1_JUNIPERPVGNODE,GEN,31.0,New Mexico
PNM,35.50747,-105.921222,COLINAS_LNODEINAS,LOAD,31.0,New Mexico
PNM,34.744085,-106.653449,COLLEGE_1_MANZANOPVGNODE,GEN,31.0,New Mexico
PNM,34.741417,-106.657062,COLLEGE_1_VISTAPVGNODE,GEN,31.0,New Mexico
