interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-19 00:35:00-07:00,2025-10-19 07:35:00+00:00,2025-10-19 00:40:00-07:00,2025-10-19 07:40:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,61.25966,58.56069,0.0,2.69897,0.0
2025-10-19 00:35:00-07:00,2025-10-19 07:35:00+00:00,2025-10-19 00:40:00-07:00,2025-10-19 07:40:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,60.75086,58.56069,0.0,2.19017,0.0
2025-10-19 00:40:00-07:00,2025-10-19 07:40:00+00:00,2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,57.44725,56.537,0.0,0.91025,0.0
2025-10-19 00:40:00-07:00,2025-10-19 07:40:00+00:00,2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,59.1427,56.537,0.0,2.6057,0.0
2025-10-19 00:40:00-07:00,2025-10-19 07:40:00+00:00,2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,58.65149,56.537,0.0,2.11448,0.0
2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.76326,50.83302,0.0,0.93024,0.0
2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.2489,50.83302,0.0,2.41588,0.0
2025-10-19 00:45:00-07:00,2025-10-19 07:45:00+00:00,2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.83584,50.83302,0.0,2.00282,0.0
2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.76279,50.83255,0.0,0.93024,0.0
2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.24841,50.83255,0.0,2.41586,0.0
2025-10-19 00:50:00-07:00,2025-10-19 07:50:00+00:00,2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.83535,50.83255,0.0,2.0028,0.0
2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.79554,50.86472,0.0,0.93082,0.0
2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.28211,50.86472,0.0,2.41739,0.0
2025-10-19 00:55:00-07:00,2025-10-19 07:55:00+00:00,2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.86879,50.86472,0.0,2.00407,0.0
2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,57.07289,56.18516,0.0,0.88773,0.0
2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,58.65674,56.18516,0.0,2.47158,0.0
2025-10-19 01:00:00-07:00,2025-10-19 08:00:00+00:00,2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,58.21907,56.18516,0.0,2.0339,0.0
2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,56.68201,55.80036,0.0,0.88165,0.0
2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,58.25501,55.80036,0.0,2.45465,0.0
2025-10-19 01:05:00-07:00,2025-10-19 08:05:00+00:00,2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,57.82034,55.80036,0.0,2.01997,0.0
2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.76683,50.96163,0.0,0.80519,0.0
2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.20343,50.96163,0.0,2.24179,0.0
2025-10-19 01:10:00-07:00,2025-10-19 08:10:00+00:00,2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.80644,50.96163,0.0,1.84481,0.0
2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.53905,50.92792,0.0,0.61113,0.0
2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,53.00207,50.92792,0.0,2.07416,0.0
2025-10-19 01:15:00-07:00,2025-10-19 08:15:00+00:00,2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.60854,50.92792,0.0,1.68062,0.0
2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.47617,50.86578,0.0,0.61039,0.0
2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,52.93741,50.86578,0.0,2.07163,0.0
2025-10-19 01:20:00-07:00,2025-10-19 08:20:00+00:00,2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.54435,50.86578,0.0,1.67857,0.0
2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,51.44788,50.83782,0.0,0.61005,0.0
2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,52.90831,50.83782,0.0,2.07049,0.0
2025-10-19 01:25:00-07:00,2025-10-19 08:25:00+00:00,2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,52.51547,50.83782,0.0,1.67765,0.0
2025-10-19 01:30:00-07:00,2025-10-19 08:30:00+00:00,2025-10-19 01:35:00-07:00,2025-10-19 08:35:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,52.57164,51.74374,0.0,0.8279,0.0
