interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-12 00:00:00-07:00,2025-10-12 07:00:00+00:00,2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,32.34988,30.95386,0.0,1.39602,0.0
2025-10-12 00:00:00-07:00,2025-10-12 07:00:00+00:00,2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,32.89155,30.95386,0.0,1.93769,0.0
2025-10-12 00:00:00-07:00,2025-10-12 07:00:00+00:00,2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,32.57275,30.95386,0.0,1.61889,0.0
2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,32.44525,31.04511,0.0,1.40013,0.0
2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,32.98851,31.04511,0.0,1.9434,0.0
2025-10-12 00:05:00-07:00,2025-10-12 07:05:00+00:00,2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,32.66877,31.04511,0.0,1.62366,0.0
2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,2025-10-12 00:15:00-07:00,2025-10-12 07:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,32.35562,30.95935,0.0,1.39627,0.0
2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,2025-10-12 00:15:00-07:00,2025-10-12 07:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,32.89739,30.95935,0.0,1.93803,0.0
2025-10-12 00:10:00-07:00,2025-10-12 07:10:00+00:00,2025-10-12 00:15:00-07:00,2025-10-12 07:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,32.57853,30.95935,0.0,1.61917,0.0
2025-10-12 00:15:00-07:00,2025-10-12 07:15:00+00:00,2025-10-12 00:20:00-07:00,2025-10-12 07:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,32.40637,31.04355,0.0,1.36281,0.0
