interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-09-28 00:00:00-07:00,2025-09-28 07:00:00+00:00,2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.26051,41.66881,0.0,0.5917,0.0
2025-09-28 00:00:00-07:00,2025-09-28 07:00:00+00:00,2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.60642,41.66881,0.0,1.93761,0.0
2025-09-28 00:00:00-07:00,2025-09-28 07:00:00+00:00,2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.63975,41.66881,0.0,1.97093,0.0
2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.13106,41.54118,0.0,0.58988,0.0
2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.47285,41.54118,0.0,1.93168,0.0
2025-09-28 00:05:00-07:00,2025-09-28 07:05:00+00:00,2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.50608,41.54118,0.0,1.9649,0.0
2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.13106,41.54118,0.0,0.58988,0.0
2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.47285,41.54118,0.0,1.93168,0.0
2025-09-28 00:10:00-07:00,2025-09-28 07:10:00+00:00,2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.50608,41.54118,0.0,1.9649,0.0
2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.10993,41.59416,0.0,0.51577,0.0
2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.42847,41.59416,0.0,1.83431,0.0
2025-09-28 00:15:00-07:00,2025-09-28 07:15:00+00:00,2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.45758,41.59416,0.0,1.86342,0.0
2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.35256,41.83382,0.0,0.51874,0.0
2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.6787,41.83382,0.0,1.84488,0.0
2025-09-28 00:20:00-07:00,2025-09-28 07:20:00+00:00,2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.70797,41.83382,0.0,1.87415,0.0
2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.56467,42.04333,0.0,0.52134,0.0
2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.89745,42.04333,0.0,1.85412,0.0
2025-09-28 00:25:00-07:00,2025-09-28 07:25:00+00:00,2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.92687,42.04333,0.0,1.88354,0.0
2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.69758,42.26646,0.0,0.43112,0.0
2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.32493,42.26646,0.0,2.05847,0.0
2025-09-28 00:30:00-07:00,2025-09-28 07:30:00+00:00,2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.17691,42.26646,0.0,1.91044,0.0
2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.58429,42.15431,0.0,0.42997,0.0
2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.20732,42.15431,0.0,2.05301,0.0
2025-09-28 00:35:00-07:00,2025-09-28 07:35:00+00:00,2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.05969,42.15431,0.0,1.90537,0.0
2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.29186,41.86484,0.0,0.42702,0.0
2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.90375,41.86484,0.0,2.03891,0.0
2025-09-28 00:40:00-07:00,2025-09-28 07:40:00+00:00,2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.75713,41.86484,0.0,1.89229,0.0
2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.21422,41.68894,0.0,0.52528,0.0
2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.78755,41.68894,0.0,2.09861,0.0
2025-09-28 00:45:00-07:00,2025-09-28 07:45:00+00:00,2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.65249,41.68894,0.0,1.96355,0.0
2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.26082,41.73496,0.0,0.52586,0.0
2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.83588,41.73496,0.0,2.10092,0.0
2025-09-28 00:50:00-07:00,2025-09-28 07:50:00+00:00,2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.70068,41.73496,0.0,1.96572,0.0
2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,42.39654,41.86899,0.0,0.52755,0.0
2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,43.97666,41.86899,0.0,2.10767,0.0
2025-09-28 00:55:00-07:00,2025-09-28 07:55:00+00:00,2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,43.84102,41.86899,0.0,1.97203,0.0
2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.38146,42.71511,0.0,0.66636,0.0
2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.68173,42.71511,0.0,1.96663,0.0
2025-09-28 01:00:00-07:00,2025-09-28 08:00:00+00:00,2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.75689,42.71511,0.0,2.04178,0.0
2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.38104,42.71469,0.0,0.66635,0.0
2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.6813,42.71469,0.0,1.96661,0.0
2025-09-28 01:05:00-07:00,2025-09-28 08:05:00+00:00,2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.75645,42.71469,0.0,2.04176,0.0
2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.4021,42.73543,0.0,0.66667,0.0
2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.70299,42.73543,0.0,1.96756,0.0
2025-09-28 01:10:00-07:00,2025-09-28 08:10:00+00:00,2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.77818,42.73543,0.0,2.04275,0.0
2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.0987,42.52881,0.0,0.56989,0.0
2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.63839,42.52881,0.0,2.10958,0.0
2025-09-28 01:15:00-07:00,2025-09-28 08:15:00+00:00,2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.4979,42.52881,0.0,1.96908,0.0
2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,2025-09-28 01:25:00-07:00,2025-09-28 08:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.27452,42.70231,0.0,0.57221,0.0
2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,2025-09-28 01:25:00-07:00,2025-09-28 08:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,44.8205,42.70231,0.0,2.11819,0.0
2025-09-28 01:20:00-07:00,2025-09-28 08:20:00+00:00,2025-09-28 01:25:00-07:00,2025-09-28 08:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,44.67943,42.70231,0.0,1.97712,0.0
2025-09-28 01:25:00-07:00,2025-09-28 08:25:00+00:00,2025-09-28 01:30:00-07:00,2025-09-28 08:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,43.33764,42.7646,0.0,0.57305,0.0
