interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss,ghg
2025-10-26 00:00:00-07:00,2025-10-26 07:00:00+00:00,2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,33.21547,33.42605,0.0,-0.21058,0.0
2025-10-26 00:00:00-07:00,2025-10-26 07:00:00+00:00,2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,33.99226,33.42605,0.0,0.56621,0.0
2025-10-26 00:00:00-07:00,2025-10-26 07:00:00+00:00,2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,34.12465,33.42605,0.0,0.6986,0.0
2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,33.70511,33.9188,0.0,-0.21369,0.0
2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,34.49336,33.9188,0.0,0.57456,0.0
2025-10-26 00:05:00-07:00,2025-10-26 07:05:00+00:00,2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,34.62771,33.9188,0.0,0.7089,0.0
2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,33.24513,33.4559,0.0,-0.21077,0.0
2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,34.02262,33.4559,0.0,0.56671,0.0
2025-10-26 00:10:00-07:00,2025-10-26 07:10:00+00:00,2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,34.15513,33.4559,0.0,0.69923,0.0
2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,33.15284,33.36975,0.0,-0.2169,0.0
2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,33.92499,33.36975,0.0,0.55524,0.0
2025-10-26 00:15:00-07:00,2025-10-26 07:15:00+00:00,2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,34.06717,33.36975,0.0,0.69743,0.0
2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,33.70229,33.92278,0.0,-0.2205,0.0
2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,34.48723,33.92278,0.0,0.56445,0.0
2025-10-26 00:20:00-07:00,2025-10-26 07:20:00+00:00,2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,34.63177,33.92278,0.0,0.70899,0.0
2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,34.7331,34.96034,0.0,-0.22724,0.0
2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,35.54205,34.96034,0.0,0.58171,0.0
2025-10-26 00:25:00-07:00,2025-10-26 07:25:00+00:00,2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,35.69101,34.96034,0.0,0.73067,0.0
2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,34.6568,34.89759,0.0,-0.24079,0.0
2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,35.48436,34.89759,0.0,0.58677,0.0
2025-10-26 00:30:00-07:00,2025-10-26 07:30:00+00:00,2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,35.62695,34.89759,0.0,0.72936,0.0
2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,2025-10-26 00:40:00-07:00,2025-10-26 07:40:00+00:00,REAL_TIME_5_MIN,OAKLAND_1_N001,Node,34.6568,34.89759,0.0,-0.24079,0.0
2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,2025-10-26 00:40:00-07:00,2025-10-26 07:40:00+00:00,REAL_TIME_5_MIN,PGSF_2_PDRP58-APND,AP Node,35.48436,34.89759,0.0,0.58677,0.0
2025-10-26 00:35:00-07:00,2025-10-26 07:35:00+00:00,2025-10-26 00:40:00-07:00,2025-10-26 07:40:00+00:00,REAL_TIME_5_MIN,SNJOSEB_1_N001,Node,35.62695,34.89759,0.0,0.72936,0.0
