entity_id,market_region,game_load_mw,baseline_load_mw,load_delta_mw,load_pct_change
CAISO_SYSTEM_TOTAL,CAISO,19111.135135135137,20025.486486486487,-914.3513513513499,-4.565938270555217
ERCOT_SYSTEM_TOTAL,ERCOT,42518.21621621621,44783.08783783784,-2264.871621621627,-5.057426209248587
