location,game_price,game_congestion,game_loss,baseline_price,baseline_congestion,baseline_loss,price_delta,price_pct_change,congestion_delta,congestion_pct_change,loss_delta,loss_pct_change,us_state,latitude,longitude,city
ANAHEIM_6_N001,35.0475727027027,0.0,-0.3949210810810811,38.89267722972973,-0.05112243243243243,-0.6176320945945946,-3.8451045270270257,-9.886448557693559,0.05112243243243243,100.0,0.22271101351351347,36.058847242984996,California,33.8531627,-117.857995,"Anaheim, CA"
AUSTPL_ALL,39.08461538461539,,,19.566346153846155,,,19.518269230769235,99.75428767998429,,,,,Texas,30.293692,-97.784416,"Austin, TX"
BALCH1_7_N001,34.33238486486486,0.0,-1.1101086486486487,42.54146216216216,2.3910922972972974,0.5889368243243244,-8.209077297297299,-19.296650561763563,-2.3910922972972974,-100.0,-1.6990454729729731,-288.49367246177115,California,36.908933,-119.087736,"Fresno, CA"
BEARTAP_1_N001,35.13479756756757,0.0,-0.30769567567567563,38.5607622972973,-0.9636793918918919,-0.03699101351351351,-3.425964729729735,-8.884587662754424,0.9636793918918919,100.0,-0.2707046621621621,-731.8119630954923,California,35.38,-119.0,"Bakersfield, CA"
CBY_CBY_G1,39.18692307692308,,,19.284423076923076,,,19.902500000000003,103.20505788849113,,,,,Texas,29.750566,-94.923326,"Baytown, TX"
CNTRY_RN,39.32769230769231,,,18.07730769230769,,,21.25038461538462,117.55281802514843,,,,,Texas,32.688263,-97.084527,"Arlington, TX"
CR_RN,39.18538461538462,,,19.30673076923077,,,19.87865384615385,102.96229891926889,,,,,Texas,29.776876,-95.3799,"Houston, TX"
HLSES_UNIT5,39.34,,,17.923653846153847,,,21.416346153846156,119.48649721575487,,,,,Texas,32.727748,-97.219188,"Fort Worth, TX"
MKT_SUB_LNODEONC,36.87115054054054,0.0,1.4286583783783784,40.60471060810811,-0.05226891891891892,1.0955473648648648,-3.7335600675675664,-9.194893921549177,0.05226891891891892,100.0,0.3331110135135136,30.405897927982572,California,34.04330978252786,-118.24620887741963,"Los Angeles, CA"
OAKLAND_1_N001,35.93803027027027,0.0,0.4955362162162162,40.459875743243245,0.056945878378378376,0.841497972972973,-4.521845472972977,-11.176122985815448,-0.056945878378378376,-100.0,-0.34596175675675683,-41.112607263270064,California,37.79743499994459,-122.28090756034668,"Oakland, CA"
ODESW_RN,42.23230769230769,,,21.944230769230767,,,20.288076923076925,92.45289632810449,,,,,Texas,31.871254,-102.398561,"Odessa, TX"
P2_DGR2_RN,39.081538461538464,,,20.73730769230769,,,18.344230769230773,88.46004043251666,,,,,Texas,29.357551,-98.412407,"San Antonio, TX"
PGSF_2_PDRP58-APND,36.73382108108108,0.0,1.2913275675675675,41.882084391891894,0.7682954054054054,1.5523575,-5.148263310810812,-12.29228054324699,-0.7682954054054054,-100.0,-0.26102993243243255,-16.815065629691134,California,37.768483,-122.441301,"San Francisco, CA"
PRCRK_RN,39.32923076923077,,,19.62846153846154,,,19.70076923076923,100.36838186307166,,,,,Texas,32.775217,-96.662261,"Dallas, TX"
SCEW_2_PDRP89-APND,35.14465513513513,0.0,-0.29783783783783785,38.94557337837838,-0.05114709459459459,-0.5647118243243243,-3.8009182432432453,-9.759564216233677,0.05114709459459459,100.0,0.26687398648648647,47.258437842310144,California,33.767884,-118.149024,"Long Beach, CA"
SNJOSEB_1_N001,36.580459189189185,0.0,1.1379672972972974,41.75952277027027,0.7697935135135135,1.4282968243243244,-5.179063581081088,-12.402113907221667,-0.7697935135135135,-100.0,-0.29032952702702697,-20.32697420330479,California,37.34102432531631,-121.9009493888098,"San Jose, CA"
SOUTHBY_6_N001,35.49664054054054,0.0,0.05414810810810811,40.100006081081084,0.0584429054054054,0.4801316216216216,-4.603365540540544,-11.479712824064586,-0.0584429054054054,-100.0,-0.4259835135135135,-88.72223663893965,California,38.575612901218726,-121.497588,"Sacramento, CA"
URBAN_6_N001,34.9300254054054,0.0,-0.5124689189189189,38.455127364864865,-0.04901047297297297,-1.0572943243243242,-3.5251019594594624,-9.166793093709078,0.04901047297297297,100.0,0.5448254054054054,51.53015512057932,California,32.71336175780155,-117.151456,"San Diego, CA"
